name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Harrow Arts Centre,171 Uxbridge road, Hatch End,NA,Harrow,https://harrowarts.com/,2.00E+11,E09000015,Hatch End,E05000291,-0.364087228,51.60897493,513158.4274,191388.4576
Haverstock School Theatre ,Haverstock School, 24 Haverstock Hill,NA,Camden,NA,5090679,E09000007,Haverstock,E05000136,-0.155023519,51.54480979,527811.028,184599.2826
Hen and Chickens Theatre,109 St Paul's Road,NA,NA,Islington,https://www.thehenandchickenstheatrebar.co.uk/,5300086694,E09000019,Highbury East,E05000372,-0.103133475,51.5465405,531403.1558,184883.7295
Her Majesty's Theatre,Haymarket, St. James's,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/her-majestys,1.00E+11,E09000033,St. James's,E05000644,-0.133612605,51.50863462,529397.8512,180614.9749
Hoxton Hall,130 Hoxton St,NA,NA,Hackney,https://www.hoxtonhall.co.uk/,1.00E+11,E09000012,Hoxton East & Shoreditch,E05009377,-0.081609167,51.53232501,532936.6471,183342.1591
Institute of Contemporary Arts,The Mall, St. James's,NA,City of Westminster,https://www.ica.art/,10033548625,E09000033,St. James's,E05000644,-0.131915742,51.50714179,529519.8098,180452.0065
Intimate Theatre,521 Green Lanes, Palmers Green,NA,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05000213,-0.105149434,51.62504172,531037.0743,193607.792
Iris Theatre,St Paul's Church, Bedford Street, Covent Garden,City of Westminster,http://iristheatre.com/,1.00E+11,E09000033,St. James's,E05000644,-0.125333186,51.51209234,529962.4079,181014.0914
Isleworth Public Hall,South Street, Isleworth,NA,Hounslow,http://www.fusion-lifestyle.com/centres/isleworth-public-hall,1.00E+11,E09000018,Isleworth,E05000362,-0.327225027,51.46928924,516065.3976,175915.5011
Jacksons Lane,269A Archway Rd, Highgate,NA,Haringey,https://www.jacksonslane.org.uk/,1.00E+11,E09000014,Highgate,E05000272,-0.147975292,51.57761261,528207.242,188258.6539
Jermyn Street Theatre,16B Jermyn St, St. James's,NA,City of Westminster,http://www.jermynstreettheatre.co.uk/,10033536763,E09000033,West End,E05000649,-0.136510341,51.50967047,529193.8833,180725.0167
Katzpace,Katzenjammers, 24 Southwark Street,NA,Southwark,https://www.katzpace.co.uk/,10093339191,E09000028,Borough & Bankside,E05011095,-0.092624576,51.50540364,532250.8327,180329.0984
Kenneth More Theatre,Oakfield Road, Ilford,NA,Redbridge,https://www.kmtheatre.co.uk/,1.00E+11,E09000026,Ilford Town,E05011246,0.071015406,51.56052556,543430.6606,186765.9127
Kings Head Theatre,115 Upper St, Islington,NA,Islington,http://www.kingsheadtheatre.com/,5300094557,E09000019,St. Mary's,E05000379,-0.104477141,51.53849633,531333.1862,183986.9705
Kings Place,90 York Way, Kings Cross,NA,Camden,https://www.kingsplace.co.uk/,10091871351,E09000007,St. Pancras and Somers Town,E05000143,-0.123577178,51.53474842,530019.6392,183536.1307
KOKO,1A Camden High St, Kings Cross,NA,Camden,http://www.koko.uk.com/,5023741,E09000007,Regent's Park,E05000142,-0.140876459,51.53549102,528818.0578,183588.0544
Laban Theatre,Laban Building, 30 Creekside,NA,Lewisham,https://www.trinitylaban.ac.uk/whats-on/our-venues/laban-theatre,1.00E+11,E09000023,New Cross,E05000449,-0.021681215,51.47906872,537252.0744,177531.8731
Landor Space,70 Landor Rd, Clapham North,NA,Lambeth,https://www.landorspace.com/,1.00E+11,E09000022,Larkhall,E05000425,-0.127632228,51.46618085,529933.5213,175905.6084
Lantern Arts Centre,Tolverne Road, Raynes Park,NA,Merton,https://www.lanternarts.org/,48111953,E09000024,Raynes Park,E05000469,-0.231459924,51.41189908,522869.2513,169691.2239
Lauderdale House,Waterlow Park, Highgate Hill,NA,Camden,http://lauderdalehouse.org.uk/,5132343,E09000007,Highgate,E05000137,-0.14491124,51.57016551,528440.5108,187436.0738
Leicester Square Theatre,6 Leicester Pl,NA,NA,City of Westminster,http://www.leicestersquaretheatre.com/,1.00E+11,E09000033,St. James's,E05000644,-0.131679857,51.51185035,529522.8149,180975.9231
Lion and Unicorn Theatre,42-44 Gaisford St, Kentish Town,NA,Camden,http://www.lionandunicorntheatre.co.uk/,5082943,E09000007,Kentish Town,E05000139,-0.141422724,51.54861882,528743.1033,185046.6569
London Coliseum ,St Martin's Ln,NA,NA,City of Westminster,https://www.eno.org/,1.00E+11,E09000033,St. James's,E05000644,-0.127877202,51.51042255,529790.673,180823.9243
London Palladium,Argyll St, Soho,NA,City of Westminster,http://london-palladium.co.uk/,10033529083,E09000033,West End,E05000649,-0.141898918,51.51497989,528805.0644,181305.8102
London Theatre,443 New Cross Rd, New Cross,NA,Lewisham,http://www.thelondontheatre.com/,10091838199,E09000023,New Cross,E05000449,-0.03180711,51.47634389,536557.271,177209.9901
London Theatre Workshop,88 Gracechurch Street Leadenhall Market,NA,NA,City and County of the City of London,http://londontheatreworkshop.co.uk/,2.00E+11,E09000001,Cornhill,E05009301,-0.085764417,51.51334897,532703.7,181224.8817
LSMT,London School of Musical Theatre, 83 Borough Rd,NA,Southwark,https://www.lsmt.co.uk/,2.00E+11,E09000028,St. George's,E05011114,-0.100289685,51.49951306,531736.0112,179660.3481
Lyric Hammersmith,Lyric Square, King St,NA,Hammersmith and Fulham,https://lyric.co.uk/,34027053,E09000013,Hammersmith Broadway,E05000256,-0.227877123,51.49375939,522898.0447,178798.5002
Lyric Theatre,29 Shaftesbury Ave, Soho,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/lyric-theatre/,1.00E+11,E09000033,West End,E05000649,-0.135400491,51.51178329,529264.8965,180961.8823
May Fair Theatre ,The May Fair Hotel, Stratton Street, Mayfair,City of Westminster,http://www.themayfairhotel.co.uk/en/may-fair-theatre.html,10033549456,E09000033,West End,E05000649,-0.14548366,51.50802526,528575.9884,180526.2824
Menier Chocolate Factory,53 Southwark St,NA,NA,Southwark,https://www.menierchocolatefactory.com/,2.00E+11,E09000028,Borough & Bankside,E05011095,-0.096077229,51.5051726,532011.9504,180297.1728
Merton Arts Space,Compton Rd, Wimbledon,NA,Merton,https://arena.yourlondonlibrary.net/web/merton/merton-arts-space-wimbledon,48017144,E09000024,Hillside,E05000462,-0.208465413,51.42374316,524435.7546,171046.864
Millfield Theatre,Silver St, Edmonton,NA,Enfield,https://www.millfieldtheatre.co.uk/,207016763,E09000010,Haselbury,E05000201,-0.079904458,51.61670068,532808.3284,192726.0205
Milton Court,1 Milton Street,NA,NA,City and County of the City of London,https://www.barbican.org.uk/hire/venue-hire/venues/milton-court-concert-hall,95511391,E09000001,Cripplegate,E05009302,-0.092682898,51.52054719,532202.9121,182012.6456
"Mirth, Marvel and Maud",186 Hoe St, Walthamstow,NA,Waltham Forest,http://mirthmarvelandmaud.com/,1.00E+11,E09000031,William Morris,E05000608,-0.022018906,51.58700167,536904.1432,189530.9982
National Centre for Circus Arts ,Coronet Street,NA,NA,Hackney,NA,1.00E+11,E09000012,Hoxton West,E05009378,-0.083867984,51.52803008,532792.5217,182860.5523
National Theatre,Upper Ground, Lambeth,NA,Lambeth,NA,2.00E+11,E09000022,Bishop's,E05000416,-0.115668338,51.50737705,530646.3699,180507.0709
Network Theatre,246A Lower Rd, Waterloo,NA,Lambeth,https://networktheatre.org/,10008787031,E09000022,Bishop's,E05000416,-0.113888522,51.50274612,530783.1167,179995.3865
New Diorama Theatre,15-16 Triton St, London ,NA,Camden,http://www.newdiorama.com/,5155688,E09000007,Regent's Park,E05000142,-0.143924929,51.52541488,528635.1032,182462.4102
New Wimbledon Theatre,93 The Broadway, Wimbledon,NA,Merton,http://www.atgtickets.com/venues/new-wimbledon-theatre/,48008413,E09000024,Trinity,E05000471,-0.202895753,51.41980863,524833.6159,170618.9107
NoÃ«l Coward Theatre,85-88 St Martin's Ln,NA,NA,City of Westminster,http://www.noelcowardtheatre.co.uk/,1.00E+11,E09000033,St. James's,E05000644,-0.128820128,51.51131046,529722.7348,180920.9676
Normansfield Theatre,The Langdon Down Centre, Normansfield, 2A Langdon Park,Richmond upon Thames,https://langdondowncentre.org.uk/normansfield-theatre/,10070711098,E09000027,Hampton Wick,E05000522,-0.315912836,51.41950034,516978.1575,170398.0234
Novello Theatre,Aldwych, London,NA,City of Westminster,http://www.novellotheatrelondon.info/,10033615106,E09000033,St. James's,E05000644,-0.121040927,51.51301144,530257.5462,181123.9157
Nursery Theatre,2  Finsbury Avenue ,NA,NA,Islington,http://thenurserytheatre.com/theatre/,1.00E+11,E09000019,Bunhill,E05000367,-0.086814449,51.51992929,532611.7364,181954.5716
Old Red Lion,418 St John St, Clerkenwell,NA,Islington,http://www.oldredliontheatre.co.uk/,5300085363,E09000019,Barnsbury,E05000366,-0.107460709,51.53191794,531145.2481,183250.2303
Old Sorting Office Barnes,49 Station Rd,NA,NA,Richmond upon Thames,http://www.osoarts.org.uk/,,E09000027,Mortlake and Barnes Common,E05000525,-0.248428132,51.47279383,521527.5837,176433.1621
Omnibus Theatre,1 Clapham Common North Side,NA,NA,Lambeth,https://omnibus-clapham.org/,1.00E+11,E09000022,Clapham Town,E05000419,-0.144545405,51.46366993,528766.1222,175596.5424
Opera Holland Park Theatre,Ilchester Place, Kensington,NA,Kensington and Chelsea,http://www.operahollandpark.com/,217038848,E09000020,Holland,E05009397,-0.204449343,51.50115652,524503.7744,179660.5565
Orange Tree Theatre,1 Clarence St, Richmond,NA,Richmond upon Thames,https://www.orangetreetheatre.co.uk/,1.00E+11,E09000027,North Richmond,E05000526,-0.303460207,51.46489827,517726.9134,175465.285
Ovalhouse,52-54 Kennington Oval, London,NA,Lambeth,http://www.ovalhouse.com/,2.00E+11,E09000022,Oval,E05000426,-0.118752358,51.48427322,530498.4218,177932.8933
Palace Theatre,Shaftesbury Ave, Soho,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/palace-theatre/,10033553103,E09000033,West End,E05000649,-0.131233936,51.5135962,529548.7943,181170.8166
Park Theatre,Clifton Terrace, Finsbury Park,NA,Islington,https://www.parktheatre.co.uk/,10090266645,E09000019,Finsbury Park,E05000371,-0.110020818,51.56617243,530869.2961,187054.0431
Paul Robeson Theatre (The Arts Centre Hounslow),Treaty Centre, High St, Hounslow,Hounslow,http://www.hounslowartscentre.co.uk/,1.00E+11,E09000018,Hounslow Central,E05000358,-0.364605576,51.46864496,513471.3419,175785.2269
Peacock Theatre,Portugal St,NA,NA,Camden,http://peacocktheatre.com/,1.00E+11,E09000007,Holborn and Covent Garden,E05000138,-0.119599115,51.51513727,530351.4934,181362.8361
Pentameters Theatre,The Horseshoe, 28 Heath St,NA,Camden,http://www.pentameters.co.uk/,5162760,E09000007,Frognal and Fitzjohns,E05000133,-0.180041195,51.5562823,526045.0008,185831.3427
Phoenix Theatre,110 Charing Cross Road,NA,NA,City of Westminster,NA,5037592,E09000033,West End,E05000649,-0.131318258,51.51517556,529538.4624,181346.261
Piccadilly Theatre,16 Denman St, Soho,NA,City of Westminster,https://www.piccadillytheatre.org/,1.00E+11,E09000033,West End,E05000649,-0.136980332,51.51156529,529155.9161,180934.8521
Platform,Hornsey Road Baths, 2 Tiltman Place,NA,Islington,NA,10012794343,E09000019,Finsbury Park,E05000371,-0.11716881,51.5617735,530386.6272,186552.2044
Platform Theatre,Central Saint Martin's, 1 Handyside St, Kings Cross,Camden,NA,5167112,E09000007,St. Pancras and Somers Town,E05000143,-0.125196079,51.53743115,529899.7464,183831.5192
Playhouse theatre,Northumberland Ave,NA,NA,City of Westminster,https://www.playhousetheatrelondon.com/,1.00E+11,E09000033,St. James's,E05000644,-0.125288396,51.50747687,529978.6566,180501.0225
Pleasance Theatre,Carpenters Mews, North Rd,NA,Islington,https://www.pleasance.co.uk/,10012788835,E09000019,Holloway,E05000375,-0.123196566,51.5492461,530004.6798,185148.6707
Polka Theatre,240 The Broadway, Wimbledon,NA,Merton,https://polkatheatre.com/,48008566,E09000024,Trinity,E05000471,-0.196078435,51.42019874,525306.4374,170673.9341
Prince Edward Theatre,Old Compton St, Soho,NA,City of Westminster,http://www.princeedwardtheatre.co.uk/,1.00E+11,E09000033,West End,E05000649,-0.132532821,51.51426411,529456.7969,181242.7746
Prince of Wales Theatre,Coventry St,NA,NA,City of Westminster,https://www.delfontmackintosh.co.uk/theatres/prince-of-wales-theatre/,1.00E+11,E09000033,St. James's,E05000644,-0.133377664,51.51051045,529408.833,180823.9457
Print Room at the Coronet,103 Notting Hill Gate, Kensington,NA,Kensington and Chelsea,https://www.the-print-room.org/,217059398,E09000020,Pembridge,E05009400,-0.200485076,51.50899645,524757.4254,180538.9656
Puppet Theatre Barge,Blomfield Road (opposite 35),NA,NA,City of Westminster,http://www.puppetbarge.com/Controllers/homepage.php,10033556397,E09000033,Little Venice,E05000639,-0.18632704,51.52224162,525703.1811,182035.8331
Putney Arts Theatre,Ravenna Rd, Putney,NA,Wandsworth,http://www.putneyartstheatre.org.uk/,1.00E+11,E09000032,East Putney,E05000613,-0.221703171,51.46102652,523414.9482,175169.6224
QEH Southbank Centre,Belvedere Rd, Lambeth,NA,Lambeth,https://www.southbankcentre.co.uk/venues/queen-elizabeth-hall,10090198178,E09000022,Bishop's,E05000416,-0.117552648,51.50717504,530516.2162,180481.2455
Queen's Theatre ,51 Shaftesbury Ave, Soho,NA,City of Westminster,http://www.queenstheatre.co.uk/,1.00E+11,E09000033,West End,E05000649,-0.134506592,51.51251524,529324.8344,181044.8412
Queen's Theatre Hornchurch ,Billet Ln, Hornchurch,NA,Havering,http://www.queens-theatre.co.uk/,1.00E+11,E09000016,St. Andrew's,E05000320,0.217790544,51.56571994,553583.8346,187641.7935
Ralph Richardson Memorial Studios ,Mountview Theatre School, 104 Crouch Hill,NA,Haringey,NA,1.00E+11,E09000014,Crouch End,E05000269,-0.123488188,51.57658777,529906.4268,188187.9816
Redbridge Drama Centre,Churchfields, South Woodford,NA,Redbridge,http://www.redbridgedramacentre.co.uk/,1.00E+11,E09000026,Churchfields,E05011238,0.025399644,51.5987895,540151.7867,190931.4148
Regents Park Open Air Theatre,Inner Cir,NA,NA,City of Westminster,https://openairtheatre.com/,10091898189,E09000033,Regent's Park,E05000643,-0.156039804,51.52880735,527785.4126,182818.336
Rich Mix,35-47 Bethnal Green Rd, London,NA,Tower Hamlets,https://www.richmix.org.uk/,6192962,E09000030,Weavers,E05009335,-0.075412607,51.52474282,533388.4921,182510.4602
Richmond Theatre,Little Green, Richmond,NA,Richmond upon Thames,http://www.atgtickets.com/venues/richmond-theatre/,10002264543,E09000027,South Richmond,E05000528,-0.305388877,51.46257947,517598.9476,175204.3743
Riverside Studios,101 Queen Caroline Street, Hammersmith,NA,Hammersmith and Fulham,http://www.riversidestudios.co.uk/,34153945,E09000013,North End,E05000258,-0.208193931,51.48990812,524274.5461,178403.5802
Rose Lipman Building,43 De Beauvoir Rd,NA,NA,Hackney,http://www.themillcoproject.co.uk/spaces/the-rose-lipman-building/,10008241945,E09000012,De Beauvoir,E05009371,-0.083199392,51.5394745,532805.5555,184134.1357
Rose Theatre,24-26 High St, Kingston upon Thames,NA,Richmond upon Thames,https://www.rosetheatrekingston.org/,128029778,E09000027,Hampton Wick,E05000522,-0.309291192,51.40877768,517465.9575,169216.4947
Rose Theatre,Lamorbey House, Burnt Oak Lane,NA,Bexley,https://www.bruford.ac.uk/,10011845091,E09000004,Blackfen & Lamorbey,E05011220,0.104842345,51.43979204,546160.8162,173410.3254
Rosemary Branch Theatre,2 Shepperton Rd,NA,NA,Islington,http://www.rosemarybranchtheatre.co.uk/,5300082551,E09000019,Canonbury,E05000369,-0.088545651,51.53813039,532438.8037,183975.0092
Roundhouse,Chalk Farm Rd, Camden Town,NA,Camden,http://www.roundhouse.org.uk/,5109516,E09000007,Camden Town with Primrose Hill,E05000130,-0.15289144,51.54354905,527962.3672,184462.8447
Royal Court Theatre,Sloane Square, Chelsea,NA,Kensington and Chelsea,https://royalcourttheatre.com/,217078033,E09000020,Royal Hospital,E05009403,-0.157998904,51.49312267,527749.3913,178847.4727
Royal Opera House,Bow St,NA,NA,City of Westminster,http://www.roh.org.uk/,10033547198,E09000033,St. James's,E05000644,-0.124260621,51.51355733,530032.6399,181178.8759
Ryan Theatre,5 Yew Walk, Harrow,NA,Harrow,https://www.tagvenue.com/rooms/middlesex/1654/harrow-school/ryan-theatre,1.00E+11,E09000015,Harrow on the Hill,E05000289,-0.341300733,51.57331899,514825.7789,187459.5599
Sadler's Wells Theatre,Rosebery Ave, Clerkenwell,NA,Islington,https://www.sadlerswells.com/,5300080047,E09000019,Clerkenwell,E05000370,-0.107874625,51.52993712,531122.2412,183029.2599
Sainsbury Theatre,155 Talgarth Rd,NA,NA,Hammersmith and Fulham,https://www.lamda.ac.uk/hire-our-spaces,34160370,E09000013,Avonmore and Brook Green,E05000252,-0.215523255,51.49106288,523762.7152,178519.5369
Sam Wanamaker Playhouse,21 New Globe Walk,NA,NA,Southwark,http://www.shakespearesglobe.com/theatre/whats-on/sam-wanamaker-playhouse,10090750983,E09000028,Borough & Bankside,E05011095,-0.098181097,51.50862325,531856.0121,180677.0191
Sarah Siddons Theatre,City of Westminster College, Paddington Green Campus,NA,City of Westminster,https://www.cwc.ac.uk/private-hire/sarah-siddons-theatre,10033614767,E09000033,Little Venice,E05000639,-0.176027204,51.5213937,526419.8942,181959.3231
Savoy Theatre,Savoy Court, Strand,NA,City of Westminster,http://www.atg.co.uk/venues/london/savoy-theatre/,1.00E+11,E09000033,St. James's,E05000644,-0.122476737,51.51067863,530164.5961,180861.9959
Shaftesbury Theatre,210 Shaftesbury Ave,NA,NA,Camden,http://www.shaftesburytheatre.com/,5038488,E09000007,Holborn and Covent Garden,E05000138,-0.127702349,51.51678597,529784.7073,181531.7204
