name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Shakespeares Globe,21 New Globe Walk,NA,NA,Southwark,http://www.shakespearesglobe.com/,2.00E+11,E09000028,Borough & Bankside,E05011095,-0.098181097,51.50862325,531856.0121,180677.0191
Shaw Theatre,100-110 Euston Rd, Kings Cross,NA,Camden,https://www.shaw-theatre.com/,5083194,E09000007,St. Pancras and Somers Town,E05000143,-0.129717428,51.5291548,529609.7882,182903.3199
Shepherds Bush Empire,Shepherd's Bush Green,NA,NA,Hammersmith and Fulham,https://academymusicgroup.com/o2shepherdsbushempire/,34030760,E09000013,Shepherd's Bush Green,E05000263,-0.226070492,51.50393746,522996.009,179933.1487
Shoreditch Town Hall,380 Old St,NA,NA,Hackney,https://shoreditchtownhall.com/,10008305130,E09000012,Hoxton East & Shoreditch,E05009377,-0.081289113,51.52759052,532972.6411,182816.3667
Soho Theatre,21 Dean Street,NA,NA,City of Westminster,https://sohotheatre.com/,10033554562,E09000033,West End,E05000649,-0.134513511,51.51488794,529317.6319,181308.6261
South London Theatre,The Old Fire Station, 2A Norwood High Street,NA,Croydon,http://www.southlondontheatre.co.uk/,1.00E+11,E09000008,South Norwood,E05011485,-0.077179031,51.4009191,533627.5091,168740.7763
Southwark Playhouse,77-85 Newington Causeway, London,NA,Southwark,http://southwarkplayhouse.co.uk/,2.00E+11,E09000028,St. George's,E05011114,-0.099781703,51.49821019,531775.0206,179516.4115
"St Johns, Waterloo",73 Waterloo Rd, Lambeth,NA,Lambeth,NA,10090199534,E09000022,Bishop's,E05000416,-0.113579398,51.50499811,530798.1137,180246.3159
St Martin's Theatre,West St,NA,NA,City of Westminster,https://www.the-mousetrap.co.uk/,5090739,E09000033,West End,E05000649,-0.129215629,51.51335016,529689.5022,181147.0405
St Mary's University ,Waldegrave Road, Twickenham,NA,Richmond upon Thames,NA,1.00E+11,E09000027,South Twickenham,E05000529,-0.333044849,51.43617234,515745.0738,172224.3601
Stockwell Playhouse,208 Wandsworth Road,NA,NA,Lambeth,http://www.stockwellph.com/,10023851231,E09000022,Stockwell,E05000429,-0.132823448,51.47648579,529543.7901,177042.085
Stratford Circus Arts Centre,Theatre Square, Stratford,NA,Newham,https://stratford-circus.com/,10008996899,E09000025,Stratford and New Town,E05000492,-0.000157784,51.54344506,538550.686,184729.7261
Streatham Space Project,Sternhold Avenue,NA,NA,Lambeth,https://www.streathamspaceproject.co.uk/,1.00E+11,E09000022,Streatham Hill,E05000430,-0.128474733,51.43917354,529951.7867,172901.4731
Sydenham Centre,44a Sydenham Road,NA,NA,Lewisham,https://www.lewisham.gov.uk/inmyarea/Pages/venue-detail.aspx?directoryid=5081,1.00E+11,E09000023,Sydenham,E05000452,-0.053283626,51.42641139,535213.873,171618.7378
Tabard Theatre,2 Bath Rd, Chiswick,NA,Hounslow,http://tabardtheatre.co.uk/,10091854897,E09000018,Chiswick Homefields,E05000348,-0.255056571,51.49643256,521004.6884,179050.3647
Tara Theatre,356 Garratt Ln,NA,NA,Wandsworth,https://www.tara-arts.com/,121011012,E09000032,Earlsfield,E05000612,-0.189439175,51.44228795,525707.2226,173141.2063
Teatr Polski,Polish Centre, 238-46 King Street,NA,Hammersmith and Fulham,http://www.posk.org/c5/en/home/,34160956,E09000013,Ravenscourt Park,E05000261,-0.239015056,51.49403514,522124.3277,178810.4934
The Albany,Douglas Way,NA,NA,Lewisham,https://www.thealbany.org.uk/,1.00E+11,E09000023,New Cross,E05000449,-0.029025428,51.47839273,536744.2584,177442.9702
The Beck Theatre,Grange Rd, Hayes,NA,Hillingdon,https://becktheatre.org.uk/,10003001360,E09000017,Townfield,E05000339,-0.423374127,51.52155421,509263.7119,181578.3637
The Bhavan Centre,4A Castletown Rd, Hammersmith,NA,Hammersmith and Fulham,http://www.bhavan.net/,34140084,E09000013,North End,E05000258,-0.208193931,51.48990812,524274.5461,178403.5802
The Bread & Roses Theatre,68 Clapham Manor St,NA,NA,Lambeth,https://www.breadandrosestheatre.co.uk/,1.00E+11,E09000022,Clapham Town,E05000419,-0.138482219,51.46690969,529178.0181,175967.424
The Bridge Theatre,3 Potters Fields Park,NA,NA,Southwark,https://bridgetheatre.co.uk/,10090749570,E09000028,London Bridge & West Bermondsey,E05011104,-0.078830885,51.50414492,533211.5332,180214.1894
The Broadway,11-13 Broadway, Barking,NA,Barking and Dagenham,https://www.thebroadwaybarking.com/,100058301,E09000002,Abbey,E05000026,0.075702276,51.53639032,543831.6366,184091.8724
The Brockley Jack Theatre,410 Brockley Rd,NA,NA,Lewisham,http://www.brockleyjack.co.uk/,1.00E+11,E09000023,Crofton Park,E05000441,-0.040139485,51.45394088,536045.4658,174703.7483
The Bull Theatre,68 High St, Barnet,NA,Barnet,https://www.thebulltheatre.com/,200148795,E09000003,High Barnet,E05000056,-0.200963858,51.6536034,524328.565,196615.722
The Calder Bookshop & Theatre,51 The Cut,NA,NA,Lambeth,http://calderbookshop.com/,2.00E+11,E09000022,Bishop's,E05000416,-0.108319985,51.50354554,531167.1977,180094.2417
The CLF Art CafÃ©,Block A, Bussey Building, 133 Rye Lane,Southwark,https://www.clfartcafe.org/theatre,10090750261,E09000028,Rye Lane,E05011113,-0.069824735,51.47042121,533935.2729,176481.2688
The Colour House Theatre,Merton Abbey Mills, Watermill Way,NA,Merton,http://www.colourhousetheatre.co.uk/,48112460,E09000024,Abbey,E05000455,-0.184766213,51.41351461,526111.1897,169950.2271
the cornerHOUSE Community Arts Centre,116 Douglas Rd, Surbiton,NA,Kingston upon Thames,http://www.thech.org/,1.00E+11,E09000021,Surbiton Hill,E05000413,-0.295613257,51.38140612,518487.8435,166195.3132
The Half Moon,10 Half Moon Lane, Herne Hill,NA,Southwark,http://www.halfmoonhernehill.co.uk/,6044554,E09000028,Dulwich Village,E05011100,-0.097891172,51.45339185,532035.7117,174536.9721
The Hope Theatre,207 Upper Street,NA,NA,Islington,http://www.thehopetheatre.com/,5300094879,E09000019,St. Mary's,E05000379,-0.105095213,51.54408176,531274.2505,184606.845
The Kiln,269 Kilburn High Rd, Kilburn,NA,Brent,https://kilntheatre.com/,202124574,E09000005,Kilburn,E05000094,-0.201993562,51.54423111,524556.5359,184453.8332
The Little Angel Theatre,14 Dagmar Passage, Islington,NA,Islington,https://littleangeltheatre.com/,5300026580,E09000019,St. Mary's,E05000379,-0.102877318,51.53952325,531441.1442,184104.0171
The Lyceum Theatre,21 Wellington St,NA,NA,City of Westminster,https://www.thelyceumtheatre.com/,10033572107,E09000033,St. James's,E05000644,-0.121719838,51.51193352,530213.5251,181002.8636
The Mary Wallace Theatre,The Embankment, Twickenham,NA,Richmond upon Thames,http://www.richmondshakespeare.org.uk/,1.00E+11,E09000027,Twickenham Riverside,E05000531,-0.327664261,51.44699383,516091.5153,173435.9927
The MCT,Alleyn's School, Townley Road,NA,Southwark,https://mct.alleyns.org.uk/,2.00E+11,E09000028,Goose Green,E05011103,-0.083576692,51.45529878,533024.4403,174774.8996
"The Old Library, Theatre Deli",39 Wells Way,NA,NA,Southwark,https://www.theatredeli.co.uk/about-the-old-library,2.00E+11,E09000028,Faraday,E05011102,-0.087174361,51.48312388,532693.712,177861.9293
The Old Vic,The Cut, Lambeth,NA,Lambeth,https://www.oldvictheatre.com/,2.00E+11,E09000022,Bishop's,E05000416,-0.110626736,51.5024496,531010.2894,179968.2596
The Other Palace,12 Palace St, Westminster,NA,City of Westminster,https://www.theotherpalace.co.uk/,10033568019,E09000033,St. James's,E05000644,-0.143692437,51.49923634,528725.0367,179552.2795
The Place,17 Duke's Rd, Bloomsbury,NA,Camden,https://www.theplace.org.uk/,10091861254,E09000007,St. Pancras and Somers Town,E05000143,-0.130565311,51.52781091,529554.8082,182752.4011
The Playground Theatre,8 Latimer Industrial Estate, Latimer Rd,NA,Hammersmith and Fulham,http://theplaygroundtheatre.london/,217052352,E09000013,College Park and Old Oak,E05000253,-0.226001748,51.51831412,522962.0458,181531.6832
The Questors Theatre,12 Mattock Ln,NA,NA,Ealing,http://www.questors.org.uk/,12084402,E09000009,Walpole,E05000192,-0.31124231,51.51221678,517065.1005,180713.7697
The Red Hedgehog,255 - 257 Archway Road, Highgate,NA,Haringey,http://www.theredhedgehog.co.uk/,1.00E+11,E09000014,Highgate,E05000272,-0.145578588,51.57665107,528375.9791,188155.9611
The Rose Playhouse,56 Park St,NA,NA,Southwark,http://www.roseplayhouse.org.uk/,2.00E+11,E09000028,Borough & Bankside,E05011095,-0.09786911,51.50781833,531879.9824,180588.0906
The Royal Vauxhall Tavern,372 Kennington Lane, Vauxhall,NA,Lambeth,http://www.vauxhalltavern.com/,1.00E+11,E09000022,Prince's,E05000427,-0.121405222,51.4870039,530306.4819,178231.7571
The Scoop,Queen's Walk,NA,NA,Lambeth,https://www.visitlondon.com/things-to-do/place/3720745-scoop,10013532078,E09000022,Bishop's,E05000416,-0.120831813,51.50417225,530297.2801,180141.5474
The Space,269 Westferry Rd, Isle of Dogs,NA,Tower Hamlets,https://space.org.uk/,6060149,E09000030,Island Gardens,E05009324,-0.0258169,51.49268043,536924.181,179037.4537
The Tabernacle W11,34-35 Powis Square,NA,NA,Kensington and Chelsea,https://www.tabernaclew11.com/,217070132,E09000020,Colville,E05009392,-0.203143963,51.51721063,524550.5433,181447.6948
The Vaults,Leake Street, Lamebth,NA,Lambeth,https://www.thevaults.london/,10091121720,E09000022,Bishop's,E05000416,-0.117556057,51.50247048,530529.4294,179958.1872
The Yaa Centre,1 Chippenham Mews,NA,NA,City of Westminster,NA,1.00E+11,E09000033,Harrow Road,E05000635,-0.196666428,51.52406349,524981.083,182220.6612
The Yard Theatre,Unit 2A, Queenâ€™s Yard,White Post Lane,Tower Hamlets,https://theyardtheatre.co.uk/,6077552,E09000030,Bow East,E05009319,-0.024359022,51.54300956,536874.3156,184635.6854
Theatre 62,Wickham Theatre Centre, Corkscrew Hill, West Wickham,Bromley,https://theatre62.wordpress.com/,1.00E+11,E09000006,West Wickham,E05000127,-0.011943755,51.37342259,538246.9306,165804.992
Theatre N16 ,5 Ashley Road,NA,NA,Haringey,https://www.theatren16.co.uk/,10003979036,E09000014,Tottenham Hale,E05000281,-0.062745649,51.59065971,534072.6804,189862.145
Theatre Peckham,221 Havil St, Camberwell,NA,Southwark,https://www.theatrepeckham.co.uk/,10000811503,E09000028,St. Giles,E05011115,-0.085306286,51.47751843,532839.6913,177242.1131
Theatre Royal Drury Lane ,Catherine St,NA,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/theatre-royal,10033555899,E09000033,St. James's,E05000644,-0.121947845,51.51338539,530193.5664,181163.8758
Theatre Royal Haymarket,18 Suffolk St,NA,NA,City of Westminster,http://www.trh.co.uk/,1.00E+11,E09000033,St. James's,E05000644,-0.132848692,51.50934257,529448.8417,180695.0369
Theatre Royal Stratford East,Gerry Raffles Square,NA,NA,Newham,http://www.stratfordeast.com/,10009003230,E09000025,Stratford and New Town,E05000492,-0.000637702,51.5430221,538518.7031,184681.7935
Theatre Utopia,1 Matthews Yard, Croydon,NA,Croydon,http://www.matthewsyard.com/,10090382144,E09000008,Fairfield,E05011468,-0.102698376,51.37268811,531934.1402,165555.9419
Theatre503,503 Battersea Park Rd,NA,NA,Wandsworth,https://theatre503.com/,10091845630,E09000032,St. Mary's Park,E05000622,-0.167282835,51.47244361,527162.6666,176532.2114
Theatro Technis,26 Crowndale Rd, Kings Cross,NA,Camden,http://www.theatrotechnis.com/,5061419,E09000007,St. Pancras and Somers Town,E05000143,-0.135763985,51.53604907,529170.9562,183659.1241
Tower Theatre ,16 Northwold Road,NA,NA,Hackney,http://www.towertheatre.org.uk/relo.htm,1.00E+11,E09000012,Stoke Newington,E05009385,-0.073542349,51.56332345,533405.1683,186803.1868
Toynbee Studios,28 Commercial St,NA,NA,Tower Hamlets,https://www.artsadmin.co.uk/toynbee-studios,6183707,E09000030,Spitalfields & Banglatown,E05009333,-0.073923593,51.51700362,533514.4024,181652.743
Trafalgar Studios,14 Whitehall, Westminster,NA,City of Westminster,http://trafalgarentertainment.com/about-us/trafalgar-studios/,1.00E+11,E09000033,St. James's,E05000644,-0.129113012,51.50697186,529714.7442,180438.0819
Tristan Bates Theatre,1A Tower St, London,NA,City of Westminster,https://www.tristanbatestheatre.co.uk/,5077305,E09000033,West End,E05000649,-0.129684093,51.51379621,529655.7379,181195.8015
Troubadour Wembley Park Theatre,Fulton Road,,,,,,,,,-0.281788454,51.56085054,518981.3968,186168.5884
Unicorn Theatre,147 Tooley St,NA,NA,Southwark,https://www.unicorntheatre.com/,10009804074,E09000028,London Bridge & West Bermondsey,E05011104,-0.082889513,51.50458886,532928.6382,180256.1641
Union Chapel,19b Compton Terrace,NA,NA,Islington,http://www.unionchapel.org.uk/,5300023057,E09000019,St. Mary's,E05000379,-0.104331307,51.54477969,531325.196,184685.8119
Union Theatre,Old Union Arches, 229 Union St,NA,Southwark,http://www.uniontheatre.biz/,2.00E+11,E09000028,Borough & Bankside,E05011095,-0.103379478,51.5038606,531509.0851,180138.1449
Upstairs at The Gatehouse,Highgate Village,NA,NA,Haringey,http://www.upstairsatthegatehouse.com/,5166442,E09000014,Highgate,E05000272,-0.151935655,51.57246809,527947.3612,187679.7417
Vaudeville Theatre,404 Strand,NA,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/vaudeville-theatre/,10033544051,E09000033,St. James's,E05000644,-0.124083583,51.51085658,530052.616,180878.9213
Victoria Palace,Victoria St, Westminster,NA,City of Westminster,http://www.victoriapalacetheatre.co.uk/,2.00E+11,E09000033,St. James's,E05000644,-0.143949372,51.49751449,528712.0611,179360.393
Walthamstow Assembly Hall,Town Hall, Forest Rd, Walthamstow,Waltham Forest,http://www.forestvenues.london/venues/walthamstow-assembly-hall-wah17,2.00E+11,E09000031,Chapel End,E05000592,-0.01509178,51.59167049,537369.7901,190063.057
Waterloo East Theatre,Brad St, Lambeth,NA,Lambeth,https://www.waterlooeast.co.uk/,10091908867,E09000022,Bishop's,E05000416,-0.111517693,51.50460339,530942.292,180206.1208
Watermans Art Centre,40 High St, Brentford,NA,Hounslow,https://www.watermans.org.uk/,1.00E+11,E09000018,Brentford,E05000347,-0.299628859,51.48627849,517937.7376,177848.5657
White Bear Theatre,138 Kennington Park Rd, Kennington,NA,Lambeth,https://www.whitebeartheatre.co.uk/,1.00E+11,E09000022,Prince's,E05000427,-0.109658371,51.48722009,531121.2081,178276.788
Wiltons Music Hall,1 Graces Alley, Whitechapel,NA,Tower Hamlets,https://www.wiltons.org.uk/,6006845,E09000030,Whitechapel,E05009336,-0.068550982,51.51112423,533904.3177,181008.8995
Winston Churchill Theatre,Manor Farm, Pinn Way, Ruislip,Hillingdon,http://www.hillingdontheatres.uk/index.php/hire/our-spaces/wct/,1.00E+11,E09000017,Eastcote and East Ruislip,E05000329,-0.430318955,51.57944316,508643.9235,188004.3183
Winterflood Theatre,City of London School, Queen Victoria Street,NA,City and County of the City of London,https://www.cityoflondonschool.org.uk/school-life/drama/winterflood-theatre,1.00E+11,E09000001,Castle Baynard,E05009297,-0.100945095,51.51153824,531655.8462,180996.1271
Wyndham's Theatre,Charing Cross Rd,NA,NA,City of Westminster,https://www.delfontmackintosh.co.uk/theatres/wyndhams-theatre/,1.00E+11,E09000033,St. James's,E05000644,-0.129818035,51.51156841,529652.7743,180947.8772
Ye Olde Rose and Crown,53 Hoe Street, Walthamstow,NA,Waltham Forest,http://www.yeolderoseandcrowntheatrepub.co.uk/,2.00E+11,E09000031,William Morris,E05000608,-0.021954959,51.58748661,536907.1109,189585.0299
Young Actors Theatre,70-72 Barnsbury Road,NA,NA,Islington,NA,5300006610,E09000019,Barnsbury,E05000366,-0.112533377,51.5366392,530779.9611,183766.0541
Young Vic,66 The Cut, Waterloo,NA,Lambeth,https://www.youngvic.org/,1.00E+11,E09000022,Bishop's,E05000416,-0.108874737,51.50378941,531128.006,180120.3598
Immersive LDN (UNIT HQ),1-8 Davies Mews,,NA,City of Westminster,https://www.immersivedoctorwho.com/event/doctor-who-time-fracture,?100023474930,E09000033,West End,E05000649,-0.14819517,51.513235,528595.2726,180992.7486
Wildcard Theatre Company,18 Balderton Street,,NA,City of Westminster,https://www.wildcardtheatre.co.uk/,?100023474860 ,E09000033,West End,E05000649,-0.15254592,51.513277,528293.2758,180989.7902
Graeae Theatre Company,138 Kingsland Road,,NA,Hackney,https://graeae.org/event/,?100022990986 ,E09000012,Haggerston,E05009375,-0.07683844,51.532797,533489.163,183295.7811
Southwark Park Galleries ,1 Park Approach,Southwark Park,NA,Southwark,https://southwarkparkgalleries.org/,?10000811264 ,E09000028,Rotherhithe,E05011112,-0.053931951,51.494147,535192.1915,179039.8886
Michael Frayn Theatre ,70 London Road,,NA,Kingston upon Thames,https://www.michaelfrayntheatre.com/,,E09000021,,,-0.29582,51.41049,518618.0728,169318.3642
The Hammond Theatre,Hanworth Rd,Hampton,NA,Richmond upon Thames,https://www.thehammondtheatre.co.uk/,,E09000027,,,-0.37191,51.42877,513281.3313,171230.8495
Stanley Arts,12 South Norwood Hill,South Norwood,NA,Croydon,https://stanleyarts.org/,1.00024E+11,E09000008,South Norwood,E05011485,-0.075329996,51.400257,533981.2138,168560.0568
Oxford House Theatre,87 Derbyshire Street,,NA,Tower Hamlets,http://www.oxfordhouse.org.uk,6089004,E09000030,St Peter's,E05009331,-0.061510951,51.526367,534571.1484,182608.8377
Jazzbourne,443 New Cross Road,,NA,Lewisham,https://www.jazzbourne.com/,1.00023E+11,E09000023,New Cross,E05000449,-0.030216617,51.475828,536893.2038,177046.8951
RADA,Malet Street,,NA,Camden,https://www.rada.ac.uk/about-us/venue-hire/bar-and-cafe/,5110590,E09000007,Bloomsbury,E05000129,-0.13157747,51.521704,529724.2397,181963.8148
RADA Studios,16 Chenies Street,,NA,Camden,https://www.rada.ac.uk/about-us/venue-hire/rooms/,5087921,E09000007,Bloomsbury,E05000129,-0.13258564,51.520667,529657.2448,181846.7142
New London Performing Arts Centre,76 St James Lane,Muswell Hill,NA,Haringey,https://nlpac.co.uk/,10003973500,E09000014,Muswell Hill,E05000274,-0.13965084,51.588142,528976.2308,189337.6307
